index,accident_id,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,county_name,CITY,city_name,DAY,MONTH,YEAR,HOUR,MINUTE,NHS,FUNC_SYS,func_sys_lit,ROAD_FNC,road_fnc_lit,RD_OWNER,rd_owner_lit,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,SP_JUR,sp_jur_lit,HARM_EV,harm_ev_lit,MAN_COLL,man_coll_lit,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,lgt_cond_lit,WEATHER,weather_lit,SCH_BUS,CF1,CF2,CF3,cf1_lit,cf2_lit,cf3_lit,FATALS,A_INTER,a_inter_lit,A_ROADFC,a_road_fc_lit,A_TOD,a_tod_lit,A_DOW,a_dow_lit,A_LT,a_lt_lit,A_SPCRA,a_spcra_lit,A_PED,a_ped_lit,A_PED_F,a_ped_f_lit,A_PEDAL,a_pedal_lit,A_PEDAL_F,a_pedal_f_lit,A_POLPUR,a_polour_lit,A_POSBAC,a_posbac_lit,A_DIST,a_dist_lit,A_DROWSY,a_drowsy_lit,INDIAN_RES,indian_res_lit
10,2012040018,40018,1,1,1,1,13,MARICOPA,370,PHOENIX,11,1,2012,22,16,0,,.,15.0,Urban-Collector,,.,27TH AVE,MISSOURI AVE,33.5169,-112.11695278,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,3,2,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
11,2012040020,40020,2,2,0,5,13,MARICOPA,80,CHANDLER,15,1,2012,11,23,0,,.,15.0,Urban-Collector,,.,RIGGS RD,COOPER RD,33.21895,-111.80656111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,2,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,1,Daytime,2,Weekend,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,1,Involving a Distracted Driver,2,Other Crash,0,Not Tribal Lands
12,2012040022,40022,2,2,0,3,15,MOHAVE,0,NONE LISTED,15,1,2012,13,43,0,,.,3.0,Rural-Minor Arterial,,.,SR-68,ESTRELLA RD,35.22546389,-114.28908056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,2,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,1,Daytime,2,Weekend,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,1,Involving a Distracted Driver,2,Other Crash,0,Not Tribal Lands
13,2012040023,40023,3,3,0,5,13,MARICOPA,290,MESA,15,1,2012,19,29,0,,.,14.0,Urban-Minor Arterial,,.,BROWN RD,GREENFIELD RD,33.43722222,-111.73636389,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,2,2,0,1,3,Dark - Lighted,10,Cloudy,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,2,Nighttime,2,Weekend,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
14,2012040027,40027,3,3,0,6,19,PIMA,0,NONE LISTED,19,1,2012,17,33,0,,.,4.0,Rural-Major Collector,,.,PICTURE ROCKS RD,,32.32568056,-111.12113889,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,1,1,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,1,Daytime,1,Weekday,1,Large Truck Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
15,2012040037,40037,4,4,0,8,7,GILA,365,PAYSON,27,1,2012,12,47,0,,.,14.0,Urban-Minor Arterial,,.,SR-87,MALIBU DR,34.24483889,-111.32280833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,3,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
16,2012040038,40038,1,1,1,3,17,NAVAJO,0,NONE LISTED,29,1,2012,4,45,0,,.,4.0,Rural-Major Collector,,.,BOURDON RANCH RD,,34.31554722,-109.95424167,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,2,Weekend,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
17,2012040039,40039,2,2,0,2,13,MARICOPA,200,GLENDALE,3,1,2012,18,37,0,,.,14.0,Urban-Minor Arterial,,.,75TH AVE,MISSOURI AVE,33.51626667,-112.22046389,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,99,Unknown,0,2,2,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
18,2012040040,40040,1,1,0,1,17,NAVAJO,0,NONE LISTED,3,1,2012,99,99,0,,.,16.0,Urban-Local Road or Street,,.,TEXAS LN,,34.39983056,-109.89983889,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,8,1,0,6,3,Dark - Lighted,1,Clear,No,18,0,0,Date of Crash and Date of EMS Notification were no,None,None,1,2,Non-Interstate,6,Local,3,Unknown,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
19,2012040042,40042,1,1,0,1,15,MOHAVE,0,NONE LISTED,2,1,2012,2,32,0,,.,4.0,Rural-Major Collector,,.,SR-66,,35.50425833,-113.52327222,3,Indian Reservation,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,4,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,2,Weekend,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,1,Involving a Distracted Driver,1,Involving a Drowsy Driver,1,Tribal Lands
20,2012040043,40043,2,2,0,2,19,PIMA,530,TUCSON,3,1,2012,9,42,0,,.,14.0,Urban-Minor Arterial,,.,ROGER RD,1ST AVE,32.27933889,-110.96115,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,3,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
21,2012040048,40048,1,1,1,1,13,MARICOPA,420,SCOTTSDALE,13,1,2012,15,1,0,,.,16.0,Urban-Local Road or Street,,.,VIA DE VENTURE,VIA DE NEGOCIO,33.55339444,-111.89381667,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,3,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,6,Local,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,1,Pedalcyclist Involved Crash,1,Involving a pedacyclist fatality,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
22,2012040050,40050,1,1,1,1,13,MARICOPA,200,GLENDALE,14,1,2012,18,0,0,,.,14.0,Urban-Minor Arterial,,.,BETHANY HOME RD,,33.52393889,-112.15983889,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,2,Nighttime,2,Weekend,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
23,2012040052,40052,2,2,0,2,13,MARICOPA,388,QUEEN CREEK,20,1,2012,15,55,0,,.,15.0,Urban-Collector,,.,OCOTILLO RD,RITTENHOUSE RD,33.24869444,-111.62638056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,1,2,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,1,Daytime,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
24,2012040053,40053,1,1,1,1,13,MARICOPA,370,PHOENIX,20,1,2012,15,48,0,,.,19.0,Urban-Unknown Urban,,.,19TH AVE,HIDALGO ST,33.39585,-112.09921944,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,2,2,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,3,Unknown,7,Unknown,1,Daytime,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Pedalcyclist Involved Crash,1,Involving a pedacyclist fatality,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
25,2012040054,40054,1,1,0,2,19,PIMA,0,NONE LISTED,22,1,2012,99,99,0,,.,9.0,Rural-Unknown Rural,,.,UNKNOWN RD,,99.9999,999.9999,3,Indian Reservation,99,Unknown,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,5,9,Unknown,99,Unknown,No,0,0,0,None,None,None,1,3,Unknown,7,Unknown,3,Unknown,2,Weekend,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,1,Tribal Lands
26,2012040057,40057,2,2,0,2,7,GILA,210,GLOBE,24,1,2012,12,44,0,,.,3.0,Rural-Minor Arterial,,.,SR-77,,33.35861944,-110.735625,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,1,1,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,1,Daytime,1,Weekday,1,Large Truck Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,1,Involving a Drowsy Driver,0,Not Tribal Lands
27,2012040058,40058,1,1,1,2,13,MARICOPA,370,PHOENIX,26,1,2012,18,35,0,,.,14.0,Urban-Minor Arterial,,.,VAN BUREN ST,,33.45131667,-112.09603056,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
28,2012040061,40061,1,1,1,2,13,MARICOPA,420,SCOTTSDALE,28,1,2012,20,1,0,,.,16.0,Urban-Local Road or Street,,.,MCKELLIPS RD,,33.45131389,-111.89991111,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,6,Local,2,Nighttime,2,Weekend,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,1,Tribal Lands
29,2012040063,40063,1,1,1,1,13,MARICOPA,370,PHOENIX,30,1,2012,18,48,0,,.,14.0,Urban-Minor Arterial,,.,BROADWAY RD,,33.40732222,-111.98085,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,5,Dusk,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,4,Minor arterial,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,1,Involving a Distracted Driver,2,Other Crash,0,Not Tribal Lands
30,2012040065,40065,1,1,0,1,15,MOHAVE,0,NONE LISTED,2,2,2012,12,56,0,,.,6.0,Rural-Local Road or Street,,.,BORIANA MINE RD,,34.86038889,-114.08311111,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,6,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,6,Local,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
31,2012040066,40066,1,1,0,1,25,YAVAPAI,0,NONE LISTED,2,2,2012,16,4,0,,.,6.0,Rural-Local Road or Street,,.,FORT ROCK RD,,35.33119444,-112.92713333,0,No Special Jurisdiction,43,Other Fixed Object,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,5,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,6,Local,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
32,2012040070,40070,1,1,2,1,13,MARICOPA,158,EL MIRAGE,3,2,2012,18,41,0,,.,15.0,Urban-Collector,,.,THUNDERBIRD RD,LUNA ST,33.60891944,-112.31778889,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,3,3,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,2,Weekend,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
33,2012040074,40074,1,1,0,1,13,MARICOPA,0,NONE LISTED,10,2,2012,1,16,0,,.,5.0,Rural-Minor Collector,,.,NORTHERN AVE,,33.55165833,-112.434825,0,No Special Jurisdiction,18,Other Object (not fixed),0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,4,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
34,2012040075,40075,2,2,0,3,19,PIMA,0,NONE LISTED,10,2,2012,17,27,0,,.,4.0,Rural-Major Collector,,.,SANDARIO RD,,32.27372222,-111.21883611,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,1,1,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,1,Daytime,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
35,2012040076,40076,1,1,0,1,19,PIMA,0,NONE LISTED,11,2,2012,99,99,0,,.,4.0,Rural-Major Collector,,.,AVRA VALLEY RD,,32.40115556,-111.13989167,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,4,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,3,Unknown,2,Weekend,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
36,2012040079,40079,1,1,0,2,25,YAVAPAI,0,NONE LISTED,18,2,2012,17,56,0,,.,6.0,Rural-Local Road or Street,,.,CASTLE HOT SPRINGS RD,,33.94327778,-112.327075,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,4,1,Daylight,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,6,Local,1,Daytime,2,Weekend,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
37,2012040082,40082,1,1,0,1,15,MOHAVE,0,NONE LISTED,20,2,2012,22,3,0,,.,5.0,Rural-Minor Collector,,.,BOUNDARY CONE RD,,34.99595278,-114.43188333,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,4,2,Dark - Not Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,1,Driver With Positive BAC Testing Crash,1,Involving a Distracted Driver,2,Other Crash,0,Not Tribal Lands
38,2012040084,40084,1,1,1,1,13,MARICOPA,30,AVONDALE,22,2,2012,20,18,0,,.,15.0,Urban-Collector,,.,107TH AVE,,33.44669722,-112.28977778,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,1,1,0,1,3,Dark - Lighted,1,Clear,No,0,0,0,None,None,None,1,2,Non-Interstate,5,Collector,2,Nighttime,1,Weekday,2,Other Crash,2,Other Crash,1,Pedestrian Involved Crash,1,Involving a pedestrian fatality,2,Other Crash,2,Other Crash,2,Other Crash,2,All Drivers With ZERO BAC Testing Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
39,2012040085,40085,2,2,0,4,27,YUMA,620,YUMA,24,2,2012,7,13,0,,.,16.0,Urban-Local Road or Street,,.,GILA ST,,32.72258889,-114.61603333,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,1,1,0,1,1,Daylight,1,Clear,No,0,0,0,None,None,None,2,2,Non-Interstate,6,Local,1,Daytime,1,Weekday,2,Other Crash,1,Speeding Involved Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,2,Other Crash,3,Unknown BAC Crash,2,Other Crash,2,Other Crash,0,Not Tribal Lands
